combo,accuracy,precision,recall,f1,roc_auc,pr_auc,n_models
GB + MLP + CNN,0.9176029962546817,0.8586640851887706,0.8281979458450047,0.8431558935361216,0.9712049782421489,0.9252201390771617,3
MLP + CNN,0.9153558052434457,0.8553398058252427,0.8225957049486461,0.8386482627320324,0.9696262054014971,0.9266180408942544,2
GB + MLP,0.916354556803995,0.851145038167939,0.8328664799253035,0.8419065596979708,0.968005425301227,0.9159744964747774,2
GB + CNN,0.9143570536828963,0.854775828460039,0.8188608776844071,0.8364329995231283,0.9679188648874684,0.9124623610502104,2
CNN,0.9103620474406992,0.849705304518664,0.80765639589169,0.8281474389660124,0.9670211188315364,0.9148322385878443,1
MLP,0.9121098626716604,0.8433619866284623,0.8244631185807656,0.833805476864967,0.9650273651837468,0.9146451757454335,1
GB,0.8813982521847691,0.798,0.7450980392156863,0.7706422018348624,0.9497997335721382,0.8662704963997302,1
