kind,feature,auc_drop_mean,auc_drop_std
stat,E_zone40F_jump,0.05704672126848185,0.008039413357366675
stat,D_ratio_mild_over_warm,0.02746855640261735,0.005142183561648907
stat,D_mild_max_kwh,0.024034424120980308,0.005048540076961519
stat,D_cold_autocorr_1h,0.022690514791434396,0.0017928999952803748
stat,D_temp_load_corr_all,0.021873058523021287,0.005021892855050185
stat,D_cold_temp_load_corr,0.021698323941074592,0.005655482834014472
stat,D_mild_std_kwh,0.018489598833163284,0.0039244220171761116
stat,B_winter_summer_ratio,0.01834161180304985,0.005497386210668059
stat,B_winter_std_kwh,0.011740534544809512,0.0022796030071152587
stat,D_ratio_cold_over_hot,0.011679809618278735,0.005037054648664628
stat,E_slope_hot,0.009543952590605736,0.0030212645044407926
stat,E_slope_mild,0.00815836721772837,0.002486411241952753
stat,D_cold_std_kwh,0.008004548799251485,0.002953220344058533
stat,D_ratio_hot_over_cold,0.0071784366288956125,0.0011484078558209156
stat,A_cv,0.007162944160716803,0.0018794068283238196
stat,D_hot_ramp_abs_mean,0.006765589518325612,0.0022606345575366124
stat,D_hot_max_kwh,0.006339065534748199,0.001739349355827432
stat,A_p01,0.006283264583158301,0.001073966741059041
stat,D_warm_ramp_abs_mean,0.005471027665604327,0.0027800270549552574
stat,D_mild_autocorr_1h,0.004959384910218931,0.0013317516843089085
stat,E_power_iqr,0.004872751701823207,0.0019180248574851282
stat,B_month01_mean_kwh,0.004728384170352413,0.0017265728790884407
stat,E_slope_zone0_40F,0.004724550333983011,0.001411250735783103
stat,D_mild_ramp_abs_mean,0.004583590778939089,0.0017127523760255459
stat,D_ratio_cold_over_warm,0.004569663770271211,0.0006860323424072286
stat,B_seasonal_amplitude,0.004525433623733148,0.002346219152674133
stat,E_slope_cold,0.004386079198093368,0.0013161583154157905
stat,D_mild_ramp_std,0.004283243289908416,0.0011401374959457982
stat,D_cold_ramp_std,0.0042634321715486765,0.003011074087300716
stat,A_p15,0.004031268256631826,0.002767889412871616
stat,D_warm_mean_kwh,0.003935686267435115,0.0015727227934909066
stat,D_mild_temp_load_corr,0.003840302496280006,0.0015229806371671064
stat,A_max_kwh,0.0038049543316593624,0.0012666067672787648
stat,A_range_kwh,0.0036884340289582026,0.002023616320608459
stat,B_month10_mean_kwh,0.0033594134363497826,0.0028005395630894886
