model,accuracy,precision,recall,f1,roc_auc,pr_auc
GradientBoosting,0.8813982521847691,0.798,0.7450980392156863,0.7706422018348624,0.9497997335721382,0.8662704963997302
MLP,0.9121098626716604,0.8433619866284623,0.8244631185807656,0.833805476864967,0.9650273651837468,0.9146451757454335
HybridCNN,0.9103620474406992,0.849705304518664,0.80765639589169,0.8281474389660124,0.9670211188315364,0.9148322385878443
SoftVoting,0.9176029962546817,0.8586640851887706,0.8281979458450047,0.8431558935361216,0.9712049782421489,0.9252201390771617
