,mean,std
accuracy,0.9176029962546817,0.011577551180394127
precision,0.858963434436428,0.01754063484091865
recall,0.828189524016518,0.0445402882094716
f1,0.8427340841679231,0.025398393574854208
roc_auc,0.9713570506463588,0.007687561586826242
pr_auc,0.9258069705860548,0.017703709253043064
