,gb_prob,mlp_prob,cnn_prob
gb_prob,1.0,0.844462257718156,0.8234885867896008
mlp_prob,0.844462257718156,1.0,0.9113946007379985
cnn_prob,0.8234885867896008,0.9113946007379985,1.0
