group,total_auc_drop,mean_auc_drop,n_features
D,0.23508522538591023,0.006353654740159736,37
E,0.09589263850410172,0.009589263850410172,10
B,0.06861162819370942,0.003118710372441337,22
A,0.049304167709093835,0.0019721667083637535,25
C,0.005261274697770548,0.0006576593372213185,8
