fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.9038701622971286,0.8663101604278075,0.7570093457943925,0.8079800498753117,0.9639860529541945,0.9154023144292583
2,0.9238451935081149,0.8558139534883721,0.8598130841121495,0.8578088578088578,0.971970577465013,0.927241469314167
3,0.9338327091136079,0.8815165876777251,0.8691588785046729,0.8752941176470588,0.9806635991657247,0.9447778534500557
4,0.9151061173533084,0.8578431372549019,0.8177570093457944,0.8373205741626795,0.9768584120110175,0.9399569208902124
5,0.9113607990012484,0.8333333333333334,0.8372093023255814,0.8352668213457076,0.9633066116358442,0.9016562948465804
